Rotation,Angle (deg),Distance (mm)
359.2,97.7,2760.2
359.2,220.3,231.5
359.2,221.5,238.5
359.2,226.1,260.5
359.2,227.3,268.2
359.2,259.4,0.0
359.2,258.9,3085.2
359.2,260.7,3094.2
359.2,262.6,2290.2
358.8,264.2,3068.2
358.8,266.0,3059.8
358.8,267.9,2146.2
358.8,269.7,2068.5
358.8,271.5,2092.0
358.8,273.2,2115.0
358.8,275.0,2133.0
358.8,276.8,2163.2
358.8,280.3,2326.0
358.8,283.6,3166.5
358.8,285.4,3190.0
358.8,287.2,3232.5
358.8,288.9,3262.0
358.8,290.7,3300.5
358.8,292.5,3335.2
358.8,294.2,3386.5
358.8,296.0,3438.5
358.8,297.7,3499.2
358.8,299.4,3497.0
358.8,301.2,3553.8
358.8,303.0,3623.5
358.8,304.7,3726.8
358.8,306.5,3738.5
358.8,308.3,3586.8
358.8,310.0,3444.2
358.8,311.8,3321.5
358.8,313.6,3219.0
358.8,315.4,3109.2
358.8,317.2,3016.5
358.8,318.9,2935.0
358.8,320.7,2852.2
358.8,322.6,2786.2
358.8,324.4,2731.0
358.8,326.2,2684.8
358.8,328.0,2622.2
358.8,329.7,2575.0
358.8,331.5,2529.0
358.8,333.3,2493.0
358.8,335.1,2458.0
358.8,336.9,2429.2
358.8,338.6,2394.8
358.8,340.4,2369.0
358.8,342.2,2349.0
358.8,344.0,2322.2
358.8,345.7,2297.2
358.8,347.6,2286.5
358.8,349.4,2271.2
358.8,351.2,2263.5
358.8,352.9,2258.0
358.8,354.7,2243.5
358.8,356.5,2242.5
358.8,358.3,2239.8
358.8,0.1,2240.8
358.8,1.8,2252.5
358.8,3.6,2245.2
358.8,5.4,2259.0
358.8,7.1,2259.8
358.8,8.9,2271.8
358.8,10.8,2286.8
358.8,12.5,2314.5
358.8,14.3,2335.0
358.8,16.1,2357.2
358.8,17.8,2387.8
358.8,19.6,2417.8
358.8,21.4,2446.0
358.8,23.2,2477.5
358.8,25.0,2510.8
358.8,26.7,2551.0
358.8,28.5,2608.5
358.8,30.3,2654.2
358.8,32.0,2710.0
358.8,33.8,2761.0
358.8,35.7,2837.0
358.8,37.5,2916.0
358.8,39.2,2996.5
358.8,41.0,3094.2
358.8,42.8,3191.0
358.8,44.6,3293.5
358.8,46.3,3397.0
358.8,48.2,3362.2
358.8,50.0,3277.5
358.8,51.8,3181.0
358.8,53.6,3100.8
358.8,55.4,3039.5
358.8,57.2,3001.2
358.8,59.0,3077.5
358.8,60.8,3106.0
358.8,62.6,3053.8
358.8,64.4,2994.2
358.8,66.2,2958.8
358.8,68.0,2910.8
358.8,69.8,2886.0
358.8,71.6,2861.8
358.8,73.4,2813.5
358.8,75.2,2793.0
358.8,77.0,2789.2
358.8,78.8,2747.8
358.8,80.6,2743.8
358.8,82.5,2740.5
358.8,84.3,2708.2
358.8,86.1,2707.2
358.8,87.9,2710.8
358.8,89.8,2717.0
358.8,91.5,2703.2
358.8,93.4,2713.5
358.8,95.1,2739.5
358.8,97.0,2734.8
358.8,98.8,2744.0
358.8,100.6,2713.2
358.8,102.5,2395.0
358.8,104.3,2124.2
358.8,106.2,1905.0
358.8,130.1,277.0
358.8,132.4,265.0
358.8,135.6,255.8
358.8,136.6,249.2
358.8,220.1,231.5
358.8,225.7,256.2
358.8,226.5,267.5
358.8,260.0,0.0
358.8,259.7,3097.2
358.8,261.5,3081.5
358.8,263.3,3066.5
358.8,265.1,3058.2
358.8,267.1,2135.8
358.8,269.0,2072.8
358.8,270.8,2089.2
358.8,272.6,2102.5
358.8,274.4,2120.8
358.8,276.2,2147.2
